,classname,confidence,edges,mutation
273,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.87337476,9,1.65
274,Fußgänger,0.10844838,9,1.7
275,Zulässige Höchstgeschwindigkeit (70),0.45903593,9,1.75
276,Gefahrenstelle,0.85158181,9,1.8
277,Einmalige Vorfahrt,0.6323995,9,1.85
278,Zulässige Höchstgeschwindigkeit (70),0.99955136,9,1.9
279,Gefahrenstelle,0.96468019,9,1.95
280,Ende aller Streckenverbote,0.99057662,10,0.0
281,Ende aller Streckenverbote,0.98868269,10,0.05
282,Ende aller Streckenverbote,0.96494842,10,0.1
283,Ende aller Streckenverbote,0.9540838,10,0.15
284,Ende aller Streckenverbote,0.74789071,10,0.2
285,Ende aller Streckenverbote,0.98535603,10,0.25
286,Vorfahrt,0.38707441,10,0.3
287,Ende aller Streckenverbote,0.8714186,10,0.35
288,Vorfahrt,0.53651369,10,0.4
289,Verbot für Fahrzeuge aller Art,0.52501059,10,0.45
290,Ende aller Streckenverbote,0.66375691,10,0.5
291,Vorfahrt,0.95416975,10,0.55
292,Rechts vorbei,0.57105941,10,0.6
293,Vorfahrt,0.41832334,10,0.65
294,Verbot für Fahrzeuge aller Art,0.5566408,10,0.7
295,Ende aller Streckenverbote,0.33745709,10,0.75
296,Rechts vorbei,0.79857987,10,0.8
297,Vorfahrt,0.39292246,10,0.85
298,Vorfahrt gewähren,0.996077,10,0.9
299,Verbot für Fahrzeuge aller Art,0.44153994,10,0.95
300,Zulässige Höchstgeschwindigkeit (50),0.75708944,10,1.0
301,Verbot für Fahrzeuge aller Art,0.87877613,10,1.05
302,Ausschließlich geradeaus,0.69763404,10,1.1
303,Vorfahrt,0.84709549,10,1.15
304,Baustelle,0.99462974,10,1.2
305,Verbot für Fahrzeuge aller Art,0.93881786,10,1.25
306,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.97903204,10,1.3
307,Vorfahrt,0.82467985,10,1.35
308,Vorfahrt gewähren,0.92207623,10,1.4
309,Vorfahrt,0.81406772,10,1.45
310,Zulässige Höchstgeschwindigkeit (70),0.54176044,10,1.5
311,Zulässige Höchstgeschwindigkeit (70),0.98570412,10,1.55
312,Vorfahrt,0.99708611,10,1.6
313,Verbot für Fahrzeuge aller Art,0.99995053,10,1.65
314,"Überholverbot für Kraftfahrzeuge mit einer zulässigen Gesamtmasse über 3,5t",0.32443064,10,1.7
315,Vorfahrt,0.95690924,10,1.75
316,Zulässige Höchstgeschwindigkeit (70),0.80635434,10,1.8
317,Einmalige Vorfahrt,0.89316362,10,1.85
318,Rechts vorbei,0.40844464,10,1.9
319,Vorfahrt gewähren,0.99318779,10,1.95
320,Ende aller Streckenverbote,0.96938556,11,0.0
321,Ende aller Streckenverbote,0.97719187,11,0.05
322,Ende aller Streckenverbote,0.96082991,11,0.1
323,Ende aller Streckenverbote,0.81619155,11,0.15
324,Ende aller Streckenverbote,0.95002651,11,0.2
325,Ende aller Streckenverbote,0.96672386,11,0.25
326,Ende aller Streckenverbote,0.77336353,11,0.3
327,Vorfahrt,0.24523699,11,0.35
328,Vorfahrt,0.6995641,11,0.4
329,Vorfahrt,0.8498472,11,0.45
330,Ende aller Streckenverbote,0.82334632,11,0.5
331,Baustelle,0.56681764,11,0.55
332,Verbot für Fahrzeuge aller Art,0.69988108,11,0.6
333,Ende aller Streckenverbote,0.37860182,11,0.65
334,Vorfahrt gewähren,0.81775647,11,0.7
335,Vorfahrt,0.97600335,11,0.75
336,Verbot für Fahrzeuge aller Art,0.53486848,11,0.8
337,Vorfahrt,0.67932826,11,0.85
338,Verbot der Einfahrt,0.99987102,11,0.9
339,Vorfahrt gewähren,0.99994111,11,0.95
340,Verbot für Fahrzeuge aller Art,0.988644,11,1.0
341,Vorfahrt gewähren,0.94749737,11,1.05
342,Verbot für Fahrzeuge aller Art,0.87301904,11,1.1
343,Verbot für Fahrzeuge aller Art,0.90343827,11,1.15
344,Vorfahrt gewähren,0.81273991,11,1.2
345,Gefahrenstelle,0.66824877,11,1.25
346,Zulässige Höchstgeschwindigkeit (70),0.99999905,11,1.3
